frame index,epsilon,speed,mean reward,game reward
10,0.9999333333333333,1547.9421316799528,10.0,10.0
29,0.9998066666666666,1435.1638092493877,14.5,19.0
49,0.9996733333333333,4528.996868588705,16.333333333333332,20.0
84,0.99944,8353.285535450097,21.0,35.0
97,0.9993533333333333,3693.16933080466,19.4,13.0
116,0.9992266666666667,21567.46305818674,19.333333333333332,19.0
156,0.99896,19019.630427389184,22.285714285714285,40.0
180,0.9988,10820.519832312157,22.5,24.0
205,0.9986333333333334,901.0939527529282,22.77777777777778,25.0
214,0.9985733333333333,3681.0078985860555,21.4,9.0
230,0.9984666666666666,14416.512137486574,20.90909090909091,16.0
249,0.99834,15871.694084843657,20.75,19.0
263,0.9982466666666666,18471.297892419,20.23076923076923,14.0
288,0.99808,24830.12076722709,20.571428571428573,25.0
309,0.99794,25303.18414248779,20.6,21.0
318,0.99788,20971.52,19.875,9.0
345,0.9977,5952.181646168401,20.294117647058822,27.0
359,0.9976066666666666,6449.231850631521,19.944444444444443,14.0
380,0.9974666666666666,11388.723041117146,20.0,21.0
392,0.9973866666666666,1704.5396911406124,19.6,12.0
401,0.9973266666666667,9868.950588235293,19.095238095238095,9.0
419,0.9972066666666667,14751.36225087925,19.045454545454547,18.0
440,0.9970666666666667,17243.6147220047,19.130434782608695,21.0
458,0.9969466666666666,15451.795333606222,19.083333333333332,18.0
487,0.9967533333333334,19580.620734063104,19.48,29.0
512,0.9965866666666666,13780.733342094887,19.692307692307693,25.0
531,0.99646,12109.371827989668,19.666666666666668,19.0
577,0.9961533333333333,5820.501508386629,20.607142857142858,46.0
604,0.9959733333333334,18405.03949293028,20.82758620689655,27.0
628,0.9958133333333333,17058.68429079817,20.933333333333334,24.0
654,0.99564,16644.06349206349,21.096774193548388,26.0
676,0.9954933333333333,15446.047539337127,21.125,22.0
697,0.9953533333333333,16485.192588433463,21.12121212121212,21.0
716,0.9952266666666667,12039.85133705998,21.058823529411764,19.0
743,0.9950466666666666,3902.2159126150027,21.228571428571428,27.0
760,0.9949333333333333,10302.437220054906,21.11111111111111,17.0
776,0.9948266666666666,13481.089594214543,20.972972972972972,16.0
791,0.9947266666666666,13760.839895013123,20.81578947368421,15.0
825,0.9945,19710.6200414651,21.153846153846153,34.0
846,0.99436,15439.155828220859,21.15,21.0
857,0.9942866666666667,10891.724268177526,20.902439024390244,11.0
872,0.9941866666666667,12029.55258126195,20.761904761904763,15.0
903,0.99398,3605.5522156286397,21.0,31.0
923,0.9938466666666667,12255.08838568298,20.977272727272727,20.0
985,0.9934333333333333,20394.23166810446,21.88888888888889,62.0
1005,0.9933,14833.966401414677,21.847826086956523,20.0
1018,0.9932133333333333,11445.413937867339,21.659574468085108,13.0
1030,0.9931333333333333,2473.54275604482,21.458333333333332,12.0
1043,0.9930466666666666,4292.706030546371,21.285714285714285,13.0
1055,0.9929666666666667,9042.696370822852,21.1,12.0
1066,0.9928933333333333,15920.40855762595,20.901960784313726,11.0
1077,0.99282,7437.908108979526,20.71153846153846,11.0
1091,0.9927266666666666,12367.366470092671,20.58490566037736,14.0
1109,0.9926066666666666,15385.66782147952,20.537037037037038,18.0
1124,0.9925066666666666,14285.776566757493,20.436363636363637,15.0
1140,0.9924,14866.828533451484,20.357142857142858,16.0
1157,0.9922866666666667,16785.114877589454,20.29824561403509,17.0
1175,0.9921666666666666,2623.170563913693,20.25862068965517,18.0
1188,0.99208,6996.785833440267,20.135593220338983,13.0
1207,0.9919533333333334,12492.832105345666,20.116666666666667,19.0
1222,0.9918533333333334,10864.196166465204,20.0327868852459,15.0
1250,0.9916666666666667,15116.554511520144,20.161290322580644,28.0
1277,0.9914866666666666,18354.32868719611,20.26984126984127,27.0
1292,0.9913866666666666,12908.198604842019,20.1875,15.0
1306,0.9912933333333334,3310.6081073462256,20.092307692307692,14.0
1323,0.99118,5114.63797432035,20.045454545454547,17.0
1364,0.9909066666666667,16829.75768252104,20.35820895522388,41.0
1375,0.9908333333333333,11980.613866528174,20.220588235294116,11.0
1416,0.99056,14147.796297819827,20.52173913043478,41.0
1444,0.9903733333333333,12722.404073231502,20.62857142857143,28.0
1475,0.9901666666666666,7353.018379234293,20.774647887323944,31.0
1487,0.9900866666666667,20336.019393939394,20.65277777777778,12.0
1501,0.9899933333333333,3205.0791987336934,20.561643835616437,14.0
1518,0.98988,11177.797146888228,20.513513513513512,17.0
1552,0.9896533333333334,20821.482844210834,20.69333333333333,34.0
1574,0.9895066666666666,18275.834422657954,20.710526315789473,22.0
1614,0.98924,19588.1097489784,20.961038961038962,40.0
1631,0.9891266666666667,16613.040074557317,20.91025641025641,17.0
1646,0.9890266666666667,14406.81474696588,20.835443037974684,15.0
1662,0.98892,3051.79008640291,20.775,16.0
1688,0.9887466666666667,8099.51752822341,20.839506172839506,26.0
1726,0.9884933333333333,17415.16083916084,21.048780487804876,38.0
1751,0.9883266666666667,17323.24467206344,21.096385542168676,25.0
1773,0.98818,12175.047895500726,21.107142857142858,22.0
1798,0.9880133333333333,19840.605487228004,21.152941176470588,25.0
1828,0.9878133333333333,21010.03840374019,21.25581395348837,30.0
1840,0.9877333333333334,2785.524821517516,21.149425287356323,12.0
1852,0.9876533333333334,3737.128601128601,21.045454545454547,12.0
1861,0.9875933333333333,18297.981580222975,20.910112359550563,9.0
1900,0.9873333333333333,14130.775397373876,21.11111111111111,39.0
1937,0.9870866666666667,22755.021700879766,21.285714285714285,37.0
1958,0.9869466666666666,6120.518657494267,21.282608695652176,21.0
1981,0.9867933333333333,15647.849472830494,21.301075268817204,23.0
1993,0.9867133333333333,3263.6265075865645,21.20212765957447,12.0
2007,0.98662,3321.469313875219,21.126315789473683,14.0
2041,0.9863933333333333,14851.732555717559,21.260416666666668,34.0
2053,0.9863133333333334,13744.305843801201,21.164948453608247,12.0
2065,0.9862333333333333,13290.63850013203,21.071428571428573,12.0
2076,0.98616,10774.718355908453,20.96969696969697,11.0
2106,0.98596,15592.208178438661,21.06,30.0
2140,0.9857333333333334,17233.39407854985,21.3,34.0
2153,0.9856466666666667,2397.7991204925243,21.24,13.0
2179,0.9854733333333333,7861.863167760075,21.3,26.0
2231,0.9851266666666667,25263.964786285185,21.47,52.0
2244,0.98504,12057.928350287484,21.47,13.0
2269,0.9848733333333334,19141.584519897773,21.53,25.0
2282,0.9847866666666667,14505.440808725725,21.26,13.0
2293,0.9847133333333333,9684.581024349287,21.13,11.0
2341,0.9843933333333333,6100.066416191977,21.36,48.0
2361,0.98426,13021.74479975163,21.47,20.0
2381,0.9841266666666667,13974.026320173247,21.51,20.0
2403,0.98398,15254.535956356423,21.54,22.0
2417,0.9838866666666667,11083.476028690071,21.54,14.0
2451,0.98366,21454.240409207163,21.63,34.0
2463,0.98358,9042.696370822852,21.54,12.0
2480,0.9834666666666667,14951.38771230866,21.62,17.0
2549,0.9830066666666667,9176.744014966547,22.04,69.0
2586,0.98276,12781.19321363861,22.27,37.0
2601,0.98266,14328.071054429514,22.21,15.0
2624,0.9825066666666666,14995.957096222603,22.32,23.0
2638,0.9824133333333334,15252.014545454545,22.37,14.0
2651,0.9823266666666667,10682.984326018808,22.32,13.0
2687,0.9820866666666667,7664.328917313842,22.47,36.0
2746,0.9816933333333333,10586.239561943874,22.88,59.0
2783,0.9814466666666667,9429.411107060396,22.96,37.0
2814,0.98124,987.2922238167915,23.02,31.0
2834,0.9811066666666667,5011.115890083632,23.03,20.0
2866,0.9808933333333333,4083.1653433117335,22.89,32.0
2884,0.9807733333333334,6149.504927913986,22.8,18.0
2898,0.98068,14739.020080321285,22.7,14.0
2925,0.9805,18675.16622691293,22.71,27.0
2945,0.9803666666666667,24506.596552731524,22.69,20.0
2957,0.9802866666666666,8027.376076555024,22.6,12.0
2973,0.98018,14134.133108677337,22.57,16.0
2982,0.98012,12450.110817941952,22.39,9.0
2996,0.9800266666666667,23403.848545237146,22.36,14.0
3014,0.9799066666666667,3146.2523753958994,22.38,18.0
3029,0.9798066666666667,5734.101348888079,22.38,15.0
3040,0.9797333333333333,5695.968395061728,22.15,11.0
3064,0.9795733333333333,18707.17264448987,22.18,24.0
3086,0.9794266666666667,16285.68443346276,22.29,22.0
3115,0.9792333333333333,19449.123121202432,22.43,29.0
3154,0.9789733333333334,21036.246913580246,22.51,39.0
3166,0.9788933333333333,21509.251282051282,22.43,12.0
3181,0.9787933333333333,10609.537942664418,21.96,15.0
3194,0.9787066666666666,21775.539936102236,21.89,13.0
3206,0.9786266666666666,2987.3960113960115,21.88,12.0
3241,0.9783933333333333,7875.99334728258,22.11,35.0
3254,0.9783066666666667,13374.03777287221,22.11,13.0
3267,0.97822,12748.644376899696,22.12,13.0
3286,0.9780933333333334,17495.45027442371,22.2,19.0
3307,0.9779533333333333,18071.478046778826,22.3,21.0
3320,0.9778666666666667,9759.432969393234,22.29,13.0
3339,0.97774,23953.043582807335,22.3,19.0
3359,0.9776066666666666,4494.539219888556,22.35,20.0
3413,0.9772466666666667,9129.077629987909,22.73,54.0
3425,0.9771666666666666,5775.289500860586,22.68,12.0
3456,0.97696,13053.250075293645,22.81,31.0
3482,0.9767866666666667,15523.402704626335,22.94,26.0
